,Feature,Correlation
1,sales_actuals_monthly__vehiclegroup14__orderintake_meanbymonth,0.7401368353269958
2,sales_actuals_monthly__vehiclegroup36__orderintake_meanbymonth,0.7401368353269958
3,sales_actuals_monthly__vehiclegroup15__orderintake_meanbymonth,0.7092200801619285
4,customer_vehicle_relationships__vehiclegroup14__active_cars,0.6305487379285539
5,customer_vehicle_relationships__vehiclegroup36__active_cars,0.6305487379285539
6,customer_vehicle_relationships__vehiclegroup01__active_cars,0.527135654161585
7,sales_actuals_monthly__vehiclegroup13__orderintake,0.4911848765790574
8,sales_actuals_monthly__vehiclegroup34__orderintake,0.4911848765790574
9,sales_actuals_monthly__vehiclegroup35__orderintake_meanbymonth,0.44935378832913825
10,premises__vehiclegroup14__flag_order_start_meanbymonth,0.44578585693761574
11,premises__vehiclegroup36__flag_order_start_meanbymonth,0.44578585693761574
12,sales_actuals_monthly__vehiclegroup15__retail_meanbymonth,0.43752114146310267
13,customer_vehicle_relationships__vehiclegroup13__active_cars,0.4260640133984951
14,customer_vehicle_relationships__vehiclegroup34__active_cars,0.4260640133984951
15,customer_vehicle_relationships__vehiclegroup15__active_cars,0.4092054670841635
16,sales_actuals_monthly__vehiclegroup27__retail_meanbymonth,0.4066518646248377
17,customer_vehicle_relationships__vehiclegroup35__active_cars_interpolated_linear,0.395982806983608
18,leasing_contracts__vehiclegroup23__end_medianbymonth,0.39443470658458213
19,leads__vehiclegroup01__won_interpolated_linear,0.3897405134223661
20,sales_actuals_monthly__vehiclegroup37__orderintake_meanbymonth,0.38278483797172524
21,sales_actuals_monthly__vehiclegroup11__orderintake_meanbymonth,0.38046743876065314
22,sales_actuals_monthly__vehiclegroup32__orderintake_meanbymonth,0.38046743876065314
23,sales_actuals_monthly__vehiclegroup16__orderintake_meanbymonth,0.37659898256762486
24,sales_actuals_monthly__vehiclegroup38__orderintake_meanbymonth,0.37659898256762486
25,registrations__vwm_luxus_ferrari_meanbymonth,0.37275879405182377
26,sales_actuals_monthly__vehiclegroup01__retail,0.370180033976646
27,sales_actuals_monthly__vehiclegroup35__retail_meanbymonth,0.3624827120881876
28,sales_stock_monthly__vehiclegroup61__netimporteranddealer_meanbymonth,0.3510914843840963
