,name,NaN Count
0,sales_actuals_monthly__vehiclegroup01__orderintake,102
1,sales_actuals_monthly__vehiclegroup01__retail,102
2,sales_flow_monthly__vehiclegroup01__cp8,102
3,sales_stock_monthly__vehiclegroup01__physical,102
4,sales_stock_monthly__vehiclegroup01__grossall,102
5,sales_stock_monthly__vehiclegroup01__netimporteranddealer,102
6,customer_vehicle_relationships__vehiclegroup01__terminated_cars,102
7,customer_vehicle_relationships__vehiclegroup01__active_cars,102
8,leads__vehiclegroup01__won,102
9,leads__vehiclegroup01__first_touch_point,102
10,leads__vehiclegroup01__lost,102
11,premises__vehiclegroup01__flag_order_start,102
12,premises__vehiclegroup01__in_sales,102
13,premises__vehiclegroup01__flag_production_start,102
14,premises__vehiclegroup01__in_production,102
15,quota__vehiclegroup01__aq,102
16,global_economy__bop_cap_account_bal_us__u_s_dollar,102
17,global_economy__bop_current_account_balance_us__u_s_dollar,102
18,global_economy__bop_direct_investment_asset_debit_capital_outflow_us__u_s_dollar,102
19,global_economy__bop_direct_investment_balance_or_net_fdi_net_capital_inflow_us__u_s_dollar,102
20,global_economy__bop_direct_investment_liability_or_fdi_credit_capital_inflow_us__u_s_dollar,102
21,global_economy__bop_factor_service_balance_net_foreign_investment_income_us__u_s_dollar,102
22,global_economy__bop_factor_service_exports_and_credits_investment_income_receipts_from_the_rest_of_the_world_us__u_s_dollar,102
23,global_economy__bop_factor_service_imports_and_debits_investment_income_payments_to_the_rest_of_the_world_us__u_s_dollar,102
24,global_economy__bop_financial_account_balance_us__u_s_dollar,102
25,global_economy__bop_non_factor_service_balance_us__u_s_dollar,102
26,global_economy__bop_non_factor_service_exports_us__u_s_dollar,102
27,global_economy__bop_non_factor_service_imports_us__u_s_dollar,102
28,global_economy__bop_other_investment_asset_debit_capital_outflow_us__u_s_dollar,102
29,global_economy__bop_other_investment_liability_credit_capital_inflow_us__u_s_dollar,102
30,global_economy__bop_portfolio_investment_asset_debit_capital_outflow_us__u_s_dollar,102
31,global_economy__bop_portfolio_investment_balance_net_capital_inflow_us__u_s_dollar,102
32,global_economy__bop_portfolio_investment_liability_credit_capital_inflow_us__u_s_dollar,102
33,global_economy__bop_transfer_payments_balance_us__u_s_dollar,102
34,global_economy__bop_transfer_payments_credit_us__u_s_dollar,102
35,global_economy__bop_transfer_payments_debit_us__u_s_dollar,102
36,global_economy__international_reserves_lcu__u_s_dollar,102
37,global_economy__net_personal_saving_rate_personal_saving_as_a_of_disposable_income__forecast,102
38,global_economy__personal_saving_household_saving_euro__forecast_billion_euros_synthetic_euros_prior_to_1999,102
39,global_economy__personal_saving_household_saving_lcu__forecast_billion,102
40,global_economy__personal_saving_household_saving_us__forecast_billion,102
41,global_economy__real_exchange_rate_with_japan_japanese_prices_per_local_prices__japanese_yen,102
42,global_economy__real_exchange_rate_with_us_us_prices_per_local_prices__u_s_dollar,102
43,global_economy__wholesale_producer_price_index_lcu_basus__index,102
44,registrations__porschesegment_boxster_cayman,102
45,registrations__porschesegment_panamera,102
46,registrations__porschesegment_w_o_porsche_segment,102
47,registrations__porschesegment_cayenne,102
48,registrations__porschesegment_taycan,102
49,registrations__porschesegment_911,102
50,registrations__porschesegment_macan,102
51,registrations__volkswagensegment_volumen,102
52,registrations__volkswagensegment_premium,102
53,registrations__volkswagensegment_budget,102
54,registrations__volkswagensegment_x,102
55,registrations__volkswagensegment_luxus,102
56,registrations__vwm_premium_mercedes_benz,102
57,registrations__vwm_premium_bmw,102
58,registrations__vwm_premium_audi,102
59,registrations__vwm_premium_lexus,102
60,registrations__vwm_premium_volvo,102
61,registrations__vwm_premium_land_rover,102
62,registrations__vwm_premium_porsche,102
63,registrations__vwm_premium_mini,102
64,registrations__vwm_premium_acura,102
65,registrations__vwm_premium_infiniti,102
66,registrations__vwm_luxus_maserati,102
67,registrations__vwm_luxus_bentley,102
68,registrations__vwm_luxus_ferrari,102
69,registrations__vwm_luxus_lamborghini,102
70,registrations__vwm_luxus_aston_martin,102
71,registrations__vwm_luxus_rolls_royce,102
72,registrations__vwm_luxus_mclaren,102
73,registrations__vwm_luxus_alpina,102
74,registrations__fueltype_hybrid,102
75,registrations__fueltype_diesel,102
76,registrations__fueltype_benzin,102
77,registrations__fueltype_electro,102
78,registrations__buildtype_suv,102
79,registrations__buildtype_transport,102
80,registrations__buildtype_van,102
81,registrations__buildtype_cabrio,102
82,registrations__buildtype_stufenheck,102
83,registrations__buildtype_kurzheck,102
84,registrations__buildtype_other,102
85,registrations__buildtype_pickup,102
86,registrations__buildtype_coupe,102
87,registrations__buildtype_kombi,102
