,name,NaN Count
0,sales_actuals_monthly__vehiclegroup01__orderintake,101
1,sales_actuals_monthly__vehiclegroup01__retail,101
2,sales_flow_monthly__vehiclegroup01__cp8,101
3,sales_stock_monthly__vehiclegroup01__physical,101
4,sales_stock_monthly__vehiclegroup01__grossall,101
5,sales_stock_monthly__vehiclegroup01__netimporteranddealer,101
6,customer_vehicle_relationships__vehiclegroup01__terminated_cars,101
7,customer_vehicle_relationships__vehiclegroup01__active_cars,101
8,leads__vehiclegroup01__won,101
9,leads__vehiclegroup01__first_touch_point,101
10,leads__vehiclegroup01__lost,101
11,premises__vehiclegroup01__flag_order_start,101
12,premises__vehiclegroup01__in_sales,101
13,premises__vehiclegroup01__flag_production_start,101
14,premises__vehiclegroup01__in_production,101
15,quota__vehiclegroup01__aq,101
16,global_economy__bop_cap_account_bal_us__u_s_dollar,101
17,global_economy__bop_current_account_balance_us__u_s_dollar,101
18,global_economy__bop_direct_investment_asset_debit_capital_outflow_us__u_s_dollar,101
19,global_economy__bop_direct_investment_balance_or_net_fdi_net_capital_inflow_us__u_s_dollar,101
20,global_economy__bop_direct_investment_liability_or_fdi_credit_capital_inflow_us__u_s_dollar,101
21,global_economy__bop_factor_service_balance_net_foreign_investment_income_us__u_s_dollar,101
22,global_economy__bop_factor_service_exports_and_credits_investment_income_receipts_from_the_rest_of_the_world_us__u_s_dollar,101
23,global_economy__bop_factor_service_imports_and_debits_investment_income_payments_to_the_rest_of_the_world_us__u_s_dollar,101
24,global_economy__bop_financial_account_balance_us__u_s_dollar,101
25,global_economy__bop_non_factor_service_balance_us__u_s_dollar,101
26,global_economy__bop_non_factor_service_exports_us__u_s_dollar,101
27,global_economy__bop_non_factor_service_imports_us__u_s_dollar,101
28,global_economy__bop_other_investment_asset_debit_capital_outflow_us__u_s_dollar,101
29,global_economy__bop_other_investment_liability_credit_capital_inflow_us__u_s_dollar,101
30,global_economy__bop_portfolio_investment_asset_debit_capital_outflow_us__u_s_dollar,101
31,global_economy__bop_portfolio_investment_balance_net_capital_inflow_us__u_s_dollar,101
32,global_economy__bop_portfolio_investment_liability_credit_capital_inflow_us__u_s_dollar,101
33,global_economy__bop_transfer_payments_balance_us__u_s_dollar,101
34,global_economy__bop_transfer_payments_credit_us__u_s_dollar,101
35,global_economy__bop_transfer_payments_debit_us__u_s_dollar,101
36,global_economy__international_reserves_lcu__u_s_dollar,101
37,global_economy__net_personal_saving_rate_personal_saving_as_a_of_disposable_income__forecast,101
38,global_economy__personal_saving_household_saving_euro__forecast_billion_euros_synthetic_euros_prior_to_1999,101
39,global_economy__personal_saving_household_saving_lcu__forecast_billion,101
40,global_economy__personal_saving_household_saving_us__forecast_billion,101
41,global_economy__real_exchange_rate_with_japan_japanese_prices_per_local_prices__japanese_yen,101
42,global_economy__real_exchange_rate_with_us_us_prices_per_local_prices__u_s_dollar,101
43,global_economy__wholesale_producer_price_index_lcu_basus__index,101
44,registrations__porschesegment_boxster_cayman,101
45,registrations__porschesegment_panamera,101
46,registrations__porschesegment_w_o_porsche_segment,101
47,registrations__porschesegment_cayenne,101
48,registrations__porschesegment_taycan,101
49,registrations__porschesegment_911,101
50,registrations__porschesegment_macan,101
51,registrations__volkswagensegment_volumen,101
52,registrations__volkswagensegment_premium,101
53,registrations__volkswagensegment_budget,101
54,registrations__volkswagensegment_x,101
55,registrations__volkswagensegment_luxus,101
56,registrations__vwm_premium_mercedes_benz,101
57,registrations__vwm_premium_bmw,101
58,registrations__vwm_premium_audi,101
59,registrations__vwm_premium_lexus,101
60,registrations__vwm_premium_volvo,101
61,registrations__vwm_premium_land_rover,101
62,registrations__vwm_premium_porsche,101
63,registrations__vwm_premium_mini,101
64,registrations__vwm_premium_acura,101
65,registrations__vwm_premium_infiniti,101
66,registrations__vwm_luxus_maserati,101
67,registrations__vwm_luxus_bentley,101
68,registrations__vwm_luxus_ferrari,101
69,registrations__vwm_luxus_lamborghini,101
70,registrations__vwm_luxus_aston_martin,101
71,registrations__vwm_luxus_rolls_royce,101
72,registrations__vwm_luxus_mclaren,101
73,registrations__vwm_luxus_alpina,101
74,registrations__fueltype_hybrid,101
75,registrations__fueltype_diesel,101
76,registrations__fueltype_benzin,101
77,registrations__fueltype_electro,101
78,registrations__buildtype_suv,101
79,registrations__buildtype_transport,101
80,registrations__buildtype_van,101
81,registrations__buildtype_cabrio,101
82,registrations__buildtype_stufenheck,101
83,registrations__buildtype_kurzheck,101
84,registrations__buildtype_other,101
85,registrations__buildtype_pickup,101
86,registrations__buildtype_coupe,101
87,registrations__buildtype_kombi,101
