,Feature,Mean_SHAP
0,sales_actuals_monthly__vehiclegroup15__orderintake_meanbymonth,49.919151306152344
1,leads__vehiclegroup01__won_meanbymonth,19.02830696105957
2,sales_actuals_monthly__vehiclegroup14__orderintake_meanbymonth,11.505148887634277
3,sales_actuals_monthly__vehiclegroup16__orderintake_meanbymonth,10.080513000488281
4,sales_actuals_monthly__vehiclegroup13__orderintake_meanbymonth,8.257673263549805
5,sales_stock_monthly__vehiclegroup08__physical_medianbymonth,4.021183967590332
6,customer_vehicle_relationships__vehiclegroup14__active_cars_meanbymonth,3.2928333282470703
7,quota__vehiclegroup01__aq_meanbymonth,2.6205637454986572
8,month,1.7654608488082886
9,global_economy__employee_compensation_lcu_year_on_year_percent_change__percent_change_year_ago,1.6340316534042358
10,global_economy__bop_factor_service_balance_net_foreign_investment_income_euro__euro,1.5163835287094116
11,sales_actuals_monthly__vehiclegroup01__retail_meanbymonth,1.306869626045227
12,customer_vehicle_relationships__vehiclegroup01__active_cars_meanbymonth,1.2174779176712036
13,sales_flow_monthly__vehiclegroup63__cp8_meanbymonth,1.1215957403182983
14,global_economy__bop_portfolio_investment_liability_credit_capital_inflow_euro__euro,1.119083285331726
15,sales_actuals_monthly__vehiclegroup21__orderintake_meanbymonth,1.06501042842865
16,customer_vehicle_relationships__vehiclegroup18__active_cars_meanbymonth,1.0471926927566528
17,leasing_contracts__vehiclegroup01__start_meanbymonth,0.8887328505516052
18,quota__vehiclegroup27__aq_interpolated_linear,0.8838925957679749
19,sales_actuals_monthly__vehiclegroup06__orderintake_meanbymonth,0.8552507758140564
20,global_economy__exchange_rate_lcu_per_us_period_end_year_on_year_percent_change__percent_change_year_ago,0.8071783185005188
21,customer_vehicle_relationships__vehiclegroup61__terminated_cars_medianbymonth,0.795665442943573
22,global_economy__exchange_rate_lcu_per_us_period_end__euro,0.7949787378311157
23,sales_flow_monthly__vehiclegroup57__cp8_medianbymonth,0.758731484413147
24,quota__vehiclegroup39__aq_meanbymonth,0.7100676894187927
25,sales_actuals_monthly__vehiclegroup12__orderintake_interpolation_spline,0.6304139494895935
26,quota__vehiclegroup33__aq_interpolated_linear,0.6232813000679016
27,leasing_contracts__vehiclegroup07__end_meanbymonth,0.6044346690177917
28,sales_actuals_monthly__vehiclegroup59__orderintake_meanbymonth,0.5725820660591125
29,sales_actuals_monthly__vehiclegroup37__orderintake_meanbymonth,0.5711647868156433
