,name,NaN Count
0,sales_actuals_monthly__vehiclegroup04__orderintake,67
1,sales_actuals_monthly__vehiclegroup04__retail,72
2,sales_actuals_monthly__vehiclegroup05__orderintake,167
3,sales_actuals_monthly__vehiclegroup05__retail,172
4,sales_actuals_monthly__vehiclegroup06__orderintake,110
5,sales_actuals_monthly__vehiclegroup06__retail,116
6,sales_actuals_monthly__vehiclegroup09__orderintake,196
7,sales_actuals_monthly__vehiclegroup09__retail,200
8,sales_actuals_monthly__vehiclegroup10__orderintake,77
9,sales_actuals_monthly__vehiclegroup10__retail,82
10,sales_actuals_monthly__vehiclegroup11__orderintake,188
11,sales_actuals_monthly__vehiclegroup11__retail,194
12,sales_actuals_monthly__vehiclegroup12__orderintake,67
13,sales_actuals_monthly__vehiclegroup12__retail,74
14,sales_actuals_monthly__vehiclegroup19__orderintake,73
15,sales_actuals_monthly__vehiclegroup19__retail,77
16,sales_actuals_monthly__vehiclegroup20__orderintake,195
17,sales_actuals_monthly__vehiclegroup20__retail,198
18,sales_actuals_monthly__vehiclegroup21__orderintake,167
19,sales_actuals_monthly__vehiclegroup21__retail,172
20,sales_actuals_monthly__vehiclegroup22__orderintake,167
21,sales_actuals_monthly__vehiclegroup22__retail,176
22,sales_actuals_monthly__vehiclegroup23__orderintake,123
23,sales_actuals_monthly__vehiclegroup23__retail,128
24,sales_actuals_monthly__vehiclegroup24__orderintake,110
25,sales_actuals_monthly__vehiclegroup24__retail,116
26,sales_actuals_monthly__vehiclegroup25__orderintake,110
27,sales_actuals_monthly__vehiclegroup25__retail,118
28,sales_actuals_monthly__vehiclegroup27__orderintake,184
29,sales_actuals_monthly__vehiclegroup27__retail,189
30,sales_actuals_monthly__vehiclegroup29__orderintake,196
31,sales_actuals_monthly__vehiclegroup29__retail,200
32,sales_actuals_monthly__vehiclegroup30__orderintake,77
33,sales_actuals_monthly__vehiclegroup30__retail,82
34,sales_actuals_monthly__vehiclegroup31__orderintake,183
35,sales_actuals_monthly__vehiclegroup31__retail,190
36,sales_actuals_monthly__vehiclegroup32__orderintake,188
37,sales_actuals_monthly__vehiclegroup32__retail,194
38,sales_actuals_monthly__vehiclegroup33__orderintake,68
39,sales_actuals_monthly__vehiclegroup33__retail,76
40,sales_actuals_monthly__vehiclegroup35__orderintake,164
41,sales_actuals_monthly__vehiclegroup35__retail,170
42,sales_actuals_monthly__vehiclegroup39__orderintake,65
43,sales_actuals_monthly__vehiclegroup39__retail,79
44,sales_actuals_monthly__vehiclegroup40__orderintake,145
45,sales_actuals_monthly__vehiclegroup40__retail,149
46,sales_actuals_monthly__vehiclegroup41__orderintake,221
47,sales_actuals_monthly__vehiclegroup41__retail,226
48,sales_actuals_monthly__vehiclegroup42__orderintake,137
49,sales_actuals_monthly__vehiclegroup42__retail,146
50,sales_actuals_monthly__vehiclegroup44__orderintake,194
51,sales_actuals_monthly__vehiclegroup44__retail,199
52,sales_actuals_monthly__vehiclegroup45__orderintake,165
53,sales_actuals_monthly__vehiclegroup45__retail,172
54,sales_actuals_monthly__vehiclegroup47__orderintake,236
55,sales_actuals_monthly__vehiclegroup47__retail,238
56,sales_actuals_monthly__vehiclegroup48__orderintake,195
57,sales_actuals_monthly__vehiclegroup48__retail,198
58,sales_actuals_monthly__vehiclegroup49__orderintake,259
59,sales_actuals_monthly__vehiclegroup49__retail,259
60,sales_actuals_monthly__vehiclegroup50__orderintake,198
61,sales_actuals_monthly__vehiclegroup50__retail,203
62,sales_actuals_monthly__vehiclegroup51__orderintake,167
63,sales_actuals_monthly__vehiclegroup51__retail,172
64,sales_actuals_monthly__vehiclegroup52__orderintake,259
