,name,NaN Count
0,month_normalized,0
1,month,0
2,countryname,0
3,sales_actuals_monthly__vehiclegroup01__orderintake,1
4,sales_actuals_monthly__vehiclegroup01__retail,1
5,sales_actuals_monthly__vehiclegroup02__orderintake,1
6,sales_actuals_monthly__vehiclegroup02__retail,1
7,sales_actuals_monthly__vehiclegroup03__orderintake,31
8,sales_actuals_monthly__vehiclegroup03__retail,36
9,sales_actuals_monthly__vehiclegroup07__orderintake,1
10,sales_actuals_monthly__vehiclegroup07__retail,1
11,sales_actuals_monthly__vehiclegroup08__orderintake,1
12,sales_actuals_monthly__vehiclegroup08__retail,1
13,sales_actuals_monthly__vehiclegroup13__orderintake,1
14,sales_actuals_monthly__vehiclegroup13__retail,2
15,sales_actuals_monthly__vehiclegroup14__orderintake,33
16,sales_actuals_monthly__vehiclegroup14__retail,44
17,sales_actuals_monthly__vehiclegroup15__orderintake,9
18,sales_actuals_monthly__vehiclegroup15__retail,22
19,sales_actuals_monthly__vehiclegroup16__orderintake,12
20,sales_actuals_monthly__vehiclegroup16__retail,22
21,sales_actuals_monthly__vehiclegroup17__orderintake,45
22,sales_actuals_monthly__vehiclegroup17__retail,48
23,sales_actuals_monthly__vehiclegroup18__orderintake,31
24,sales_actuals_monthly__vehiclegroup18__retail,38
25,sales_actuals_monthly__vehiclegroup26__orderintake,1
26,sales_actuals_monthly__vehiclegroup26__retail,1
27,sales_actuals_monthly__vehiclegroup28__orderintake,3
28,sales_actuals_monthly__vehiclegroup28__retail,3
29,sales_actuals_monthly__vehiclegroup34__orderintake,1
30,sales_actuals_monthly__vehiclegroup34__retail,2
31,sales_actuals_monthly__vehiclegroup36__orderintake,33
32,sales_actuals_monthly__vehiclegroup36__retail,44
33,sales_actuals_monthly__vehiclegroup37__orderintake,9
34,sales_actuals_monthly__vehiclegroup37__retail,22
35,sales_actuals_monthly__vehiclegroup38__orderintake,12
36,sales_actuals_monthly__vehiclegroup38__retail,22
37,sales_actuals_monthly__vehiclegroup43__orderintake,34
38,sales_actuals_monthly__vehiclegroup43__retail,40
39,sales_actuals_monthly__vehiclegroup46__orderintake,32
40,sales_actuals_monthly__vehiclegroup46__retail,38
41,customer_vehicle_relationships__vehiclegroup01__terminated_cars,1
42,customer_vehicle_relationships__vehiclegroup01__active_cars,1
43,customer_vehicle_relationships__vehiclegroup02__terminated_cars,1
44,customer_vehicle_relationships__vehiclegroup02__active_cars,1
45,customer_vehicle_relationships__vehiclegroup03__terminated_cars,26
46,customer_vehicle_relationships__vehiclegroup03__active_cars,26
47,customer_vehicle_relationships__vehiclegroup07__terminated_cars,1
48,customer_vehicle_relationships__vehiclegroup07__active_cars,1
