,Feature,Mean_SHAP
0,sales_actuals_monthly__vehiclegroup15__orderintake_meanbymonth,49.7103157043457
1,leads__vehiclegroup01__won_meanbymonth,19.82676124572754
2,sales_actuals_monthly__vehiclegroup14__orderintake_meanbymonth,9.7863187789917
3,sales_actuals_monthly__vehiclegroup13__orderintake,8.332897186279297
4,sales_actuals_monthly__vehiclegroup16__orderintake_meanbymonth,8.054875373840332
5,sales_stock_monthly__vehiclegroup08__physical_medianbymonth,3.9714372158050537
6,customer_vehicle_relationships__vehiclegroup14__active_cars,3.398437976837158
7,quota__vehiclegroup01__aq_meanbymonth,3.2044003009796143
8,customer_vehicle_relationships__vehiclegroup01__active_cars,2.5602316856384277
9,sales_actuals_monthly__vehiclegroup01__retail,1.926339030265808
10,global_economy__nia_imports_of_goods_non_factor_services_year_on_year__percentage,1.8355108499526978
11,month,1.7142444849014282
12,global_economy__employee_compensation_lcu_year_on_year_percent_change__percent_change_year_ago,1.6362075805664062
13,global_economy__bop_factor_service_balance_net_foreign_investment_income_euro__euro,1.522492527961731
14,global_economy__bop_direct_investment_asset_debit_capital_outflow_euro__euro,1.4721665382385254
15,sales_flow_monthly__vehiclegroup63__cp8_meanbymonth,1.2055002450942993
16,customer_vehicle_relationships__vehiclegroup18__active_cars_meanbymonth,1.048870325088501
17,sales_actuals_monthly__vehiclegroup21__orderintake_meanbymonth,1.0141291618347168
18,leasing_contracts__vehiclegroup01__start,0.9850916266441345
19,sales_actuals_monthly__vehiclegroup15__retail_meanbymonth,0.9068418145179749
20,customer_vehicle_relationships__vehiclegroup42__terminated_cars_meanbymonth,0.8413301110267639
21,sales_actuals_monthly__vehiclegroup37__orderintake_meanbymonth,0.8394224047660828
22,sales_actuals_monthly__vehiclegroup05__retail_meanbymonth,0.7953302264213562
23,customer_vehicle_relationships__vehiclegroup16__active_cars_meanbymonth,0.6712082624435425
24,quota__vehiclegroup39__aq_meanbymonth,0.6668695211410522
25,sales_actuals_monthly__vehiclegroup12__orderintake_interpolation_spline,0.6304139494895935
26,global_economy__employee_compensation_us__u_s_dollar,0.6126587986946106
27,global_economy__growth_rate_money_supply_m1_period_end_year_on_year_percent_change_us__percent_change_year_ago,0.6106728911399841
28,leasing_contracts__vehiclegroup07__end,0.5970175862312317
29,sales_actuals_monthly__vehiclegroup59__orderintake_meanbymonth,0.5917806029319763
30,month_normalized,0.5676928758621216
31,sales_stock_monthly__vehiclegroup06__netimporteranddealer_interpolated_linear,0.5618121027946472
32,sales_actuals_monthly__vehiclegroup57__orderintake_meanbymonth,0.5602582097053528
33,sales_flow_monthly__vehiclegroup23__cp8_medianbymonth,0.5424808263778687
34,sales_actuals_monthly__vehiclegroup42__retail_interpolation_spline,0.5090131163597107
35,quota__vehiclegroup08__aq_fill_zero,0.5000529885292053
36,customer_vehicle_relationships__vehiclegroup15__active_cars,0.4923829436302185
37,sales_actuals_monthly__vehiclegroup06__orderintake_meanbymonth,0.49209800362586975
38,global_economy__bop_services_factor_non_factor_imports_us__u_s_dollar,0.4782768487930298
39,leasing_contracts__vehiclegroup44__end_meanbymonth,0.47566139698028564
40,customer_vehicle_relationships__vehiclegroup17__active_cars_meanbymonth,0.44605353474617004
41,leasing_contracts__vehiclegroup06__end_meanbymonth,0.44111189246177673
42,sales_flow_monthly__vehiclegroup57__cp8_medianbymonth,0.43050917983055115
43,global_economy__bop_change_in_reserves_euro__euro,0.4113808274269104
44,customer_vehicle_relationships__vehiclegroup27__terminated_cars_meanbymonth,0.4002625346183777
45,sales_stock_monthly__vehiclegroup43__grossall_medianbymonth,0.39831188321113586
46,quota__vehiclegroup42__aq_meanbymonth,0.3816339671611786
47,global_economy__growth_rate_real_gdp_per_capita__percentage,0.3766001760959625
48,global_economy__exchange_rate_lcu_per_us_period_end_year_on_year_percent_change__percent_change_year_ago,0.37461185455322266
49,sales_actuals_monthly__vehiclegroup27__orderintake_medianbymonth,0.3623286485671997
50,sales_actuals_monthly__vehiclegroup57__retail_meanbymonth,0.3614402711391449
51,sales_stock_monthly__vehiclegroup40__netimporteranddealer_meanbymonth,0.3591620922088623
52,sales_actuals_monthly__vehiclegroup07__retail,0.3589673936367035
53,sales_actuals_monthly__vehiclegroup35__retail_meanbymonth,0.35256052017211914
54,sales_stock_monthly__vehiclegroup06__physical_medianbymonth,0.3508671522140503
55,customer_vehicle_relationships__vehiclegroup62__active_cars_meanbymonth,0.34884804487228394
56,sales_actuals_monthly__vehiclegroup23__orderintake_meanbymonth,0.34367436170578003
57,sales_actuals_monthly__vehiclegroup19__retail_meanbymonth,0.33797627687454224
58,global_economy__government_consumption_year_on_year__percentage,0.32113155722618103
59,global_economy__growth_rate_broad_money_supply_period_end_year_on_year_percent_change_us__percent_change_year_ago,0.3139827251434326
60,global_economy__consumer_price_index_dollar_basis__index,0.3095831871032715
61,sales_actuals_monthly__vehiclegroup07__orderintake,0.298873633146286
62,customer_vehicle_relationships__vehiclegroup33__active_cars_meanbymonth,0.2950943410396576
63,customer_vehicle_relationships__vehiclegroup12__active_cars_meanbymonth,0.2939866781234741
64,leasing_contracts__vehiclegroup57__end_medianbymonth,0.2933695912361145
65,sales_actuals_monthly__vehiclegroup04__orderintake_meanbymonth,0.28592294454574585
66,sales_actuals_monthly__vehiclegroup16__retail_meanbymonth,0.2842484712600708
