,name,NaN Count
0,sales_flow_monthly__vehiclegroup01__cp8,147
1,sales_stock_monthly__vehiclegroup01__physical,157
2,sales_stock_monthly__vehiclegroup01__grossall,157
3,sales_stock_monthly__vehiclegroup01__netimporteranddealer,157
4,leads__vehiclegroup01__won,59
5,leads__vehiclegroup01__first_touch_point,59
6,leads__vehiclegroup01__lost,59
7,quota__vehiclegroup01__aq,71
8,global_economy__bop_cap_account_bal_us__u_s_dollar,259
9,global_economy__bop_current_account_balance_us__u_s_dollar,259
10,global_economy__bop_direct_investment_asset_debit_capital_outflow_us__u_s_dollar,259
11,global_economy__bop_direct_investment_balance_or_net_fdi_net_capital_inflow_us__u_s_dollar,259
12,global_economy__bop_direct_investment_liability_or_fdi_credit_capital_inflow_us__u_s_dollar,259
13,global_economy__bop_factor_service_balance_net_foreign_investment_income_us__u_s_dollar,259
14,global_economy__bop_factor_service_exports_and_credits_investment_income_receipts_from_the_rest_of_the_world_us__u_s_dollar,259
15,global_economy__bop_factor_service_imports_and_debits_investment_income_payments_to_the_rest_of_the_world_us__u_s_dollar,259
16,global_economy__bop_financial_account_balance_us__u_s_dollar,259
17,global_economy__bop_non_factor_service_balance_us__u_s_dollar,259
18,global_economy__bop_non_factor_service_exports_us__u_s_dollar,259
19,global_economy__bop_non_factor_service_imports_us__u_s_dollar,259
20,global_economy__bop_other_investment_asset_debit_capital_outflow_us__u_s_dollar,259
21,global_economy__bop_other_investment_liability_credit_capital_inflow_us__u_s_dollar,259
22,global_economy__bop_portfolio_investment_asset_debit_capital_outflow_us__u_s_dollar,259
23,global_economy__bop_portfolio_investment_balance_net_capital_inflow_us__u_s_dollar,259
24,global_economy__bop_portfolio_investment_liability_credit_capital_inflow_us__u_s_dollar,259
25,global_economy__bop_transfer_payments_balance_us__u_s_dollar,259
26,global_economy__bop_transfer_payments_credit_us__u_s_dollar,259
27,global_economy__bop_transfer_payments_debit_us__u_s_dollar,259
28,global_economy__international_reserves_lcu__u_s_dollar,259
29,global_economy__net_personal_saving_rate_personal_saving_as_a_of_disposable_income__forecast,259
30,global_economy__personal_saving_household_saving_euro__forecast_billion_euros_synthetic_euros_prior_to_1999,259
31,global_economy__personal_saving_household_saving_lcu__forecast_billion,259
32,global_economy__personal_saving_household_saving_us__forecast_billion,259
33,global_economy__real_exchange_rate_with_japan_japanese_prices_per_local_prices__japanese_yen,259
34,global_economy__real_exchange_rate_with_us_us_prices_per_local_prices__u_s_dollar,259
35,global_economy__wholesale_producer_price_index_lcu_basus__index,259
36,registrations__porschesegment_boxster_cayman,241
37,registrations__porschesegment_panamera,241
38,registrations__porschesegment_w_o_porsche_segment,241
39,registrations__porschesegment_cayenne,241
40,registrations__porschesegment_taycan,241
41,registrations__porschesegment_911,241
42,registrations__porschesegment_macan,241
43,registrations__volkswagensegment_volumen,241
44,registrations__volkswagensegment_premium,241
45,registrations__volkswagensegment_budget,241
46,registrations__volkswagensegment_x,241
47,registrations__volkswagensegment_luxus,241
48,registrations__vwm_premium_mercedes_benz,241
49,registrations__vwm_premium_bmw,241
50,registrations__vwm_premium_audi,241
51,registrations__vwm_premium_lexus,241
52,registrations__vwm_premium_volvo,241
53,registrations__vwm_premium_land_rover,241
54,registrations__vwm_premium_porsche,241
55,registrations__vwm_premium_mini,241
56,registrations__vwm_premium_acura,241
57,registrations__vwm_premium_infiniti,241
58,registrations__vwm_luxus_maserati,259
59,registrations__vwm_luxus_bentley,241
60,registrations__vwm_luxus_ferrari,241
61,registrations__vwm_luxus_lamborghini,241
62,registrations__vwm_luxus_aston_martin,241
63,registrations__vwm_luxus_rolls_royce,241
64,registrations__vwm_luxus_mclaren,259
65,registrations__vwm_luxus_alpina,259
66,registrations__fueltype_hybrid,241
67,registrations__fueltype_diesel,241
68,registrations__fueltype_benzin,241
69,registrations__fueltype_electro,241
70,registrations__buildtype_suv,241
71,registrations__buildtype_transport,241
72,registrations__buildtype_van,241
73,registrations__buildtype_cabrio,241
74,registrations__buildtype_stufenheck,241
75,registrations__buildtype_kurzheck,241
76,registrations__buildtype_other,241
77,registrations__buildtype_pickup,241
78,registrations__buildtype_coupe,241
79,registrations__buildtype_kombi,241
