,Feature,Mean_SHAP
0,leads__vehiclegroup01__won_meanbymonth,40.61667251586914
1,customer_vehicle_relationships__vehiclegroup01__active_cars,10.574326515197754
2,global_economy__total_revenue_of_gdp_general_government__percentage,9.061352729797363
3,sales_actuals_monthly__vehiclegroup01__retail,5.690791606903076
4,registrations__buildtype_pickup_meanbymonth,4.660531997680664
5,global_economy__industrial_production_index__index,3.940199613571167
6,global_economy__wholesale_producer_price_index_year_on_year_percent_change__percent_change_year_ago,3.722815990447998
7,leasing_contracts__vehiclegroup01__end,3.2219626903533936
8,month_normalized,2.377506732940674
9,quota__vehiclegroup01__aq_medianbymonth,2.2593324184417725
10,global_economy__deflator_fixed_investment_private_non_residential_euro__index,2.135948419570923
11,global_economy__bop_portfolio_investment_asset_debit_capital_outflow_euro__euro,2.102872610092163
12,registrations__vwm_premium_land_rover_meanbymonth,2.048354387283325
13,month,2.026421546936035
14,global_economy__growth_rate_population_urban__percentage,2.0261499881744385
15,global_economy__interest_rate_long_term__percentage,1.9756108522415161
16,global_economy__exchange_rate_lcu_per_us_period_average__euro,1.9194082021713257
17,leads__vehiclegroup01__first_touch_point_meanbymonth,1.7820889949798584
18,customer_vehicle_relationships__vehiclegroup01__terminated_cars,1.7475848197937012
19,global_economy__growth_rate_nominal_retail_sales_index_lcu_year_on_year_percent_change__percent_change_year_ago,1.5351437330245972
20,global_economy__real_fixed_investment_private_non_residential_euro__euro,1.4402847290039062
21,global_economy__inventory_investment_year_on_year__percentage,1.3702040910720825
22,global_economy__nominal_statistical_discrepancy_euro__euro,1.3470836877822876
23,global_economy__consumer_price_index_year_on_year_percent_change__percent_change_year_ago,1.3455860614776611
24,global_economy__bop_change_in_reserves_euro__euro,1.2963625192642212
25,leasing_contracts__vehiclegroup01__start,1.246912956237793
26,global_economy__bop_current_account_balance_euro__euro,1.1710870265960693
27,global_economy__private_consumption_deflator_year_on_year_percent_change__percent_change_year_ago,1.1510586738586426
28,global_economy__growth_rate_real_retail_sales_index_lcu_year_on_year_percent_change__percent_change_year_ago,1.0722869634628296
29,registrations__vwm_luxus_aston_martin_meanbymonth,1.0670835971832275
30,global_economy__bop_portfolio_investment_liability_credit_capital_inflow_euro__euro,1.0063766241073608
31,global_economy__tax_rate_personal_income_taxes__percentage,0.970680296421051
32,global_economy__nominal_effective_trade_weighted_exchange_rate_nominal_value_of_lcu__index,0.9587332010269165
33,global_economy__growth_rate_nominal_effective_exchange_rate__percentage,0.9441498517990112
34,premises__vehiclegroup01__in_sales_meanbymonth,0.9269475340843201
35,global_economy__bop_basic_balance_euro__euro,0.9249312281608582
36,global_economy__bop_direct_investment_liability_or_fdi_credit_capital_inflow_euro__euro,0.8714044690132141
37,global_economy__interest_rate_spread_long_term_minus_short_term__percentage,0.859500527381897
38,premises__vehiclegroup01__flag_production_start_meanbymonth,0.8558486700057983
39,global_economy__bop_goods_exports_of_gdp__percentage,0.832259476184845
40,global_economy__bop_factor_service_balance_of_gdp__percentage,0.7995784878730774
41,global_consumer__apparel_footwear,0.7960391044616699
42,sales_flow_monthly__vehiclegroup01__cp8_medianbymonth,0.7452974319458008
43,registrations__vwm_premium_volvo_meanbymonth,0.7401235699653625
44,global_economy__growth_rate_total_revenue_in_lcu__percentage,0.6976968050003052
45,global_economy__nominal_statistical_discrepancy_us__u_s_dollar,0.6840998530387878
46,global_economy__growth_rate_terms_of_trade_goods_year_on_year_percent_change__percent_change_year_ago,0.6653186082839966
47,global_economy__exchange_rate_lcu_per_yen_period_end__euro,0.6491528153419495
48,global_economy__fiscal_balance_current_primary_in_euro_general_government__euro,0.640338122844696
49,global_consumer__female_population_15_to_64,0.6303432583808899
50,global_economy__bop_cap_account_bal_euro__euro,0.5995745658874512
51,global_economy__index_retail_sales_nominal_us_value__index,0.5877851843833923
52,sales_stock_monthly__vehiclegroup01__grossall_interpolated_linear,0.5776532888412476
53,sales_stock_monthly__vehiclegroup01__netimporteranddealer_interpolation_spline,0.5673721432685852
54,global_economy__consumer_price_index__index,0.5598771572113037
55,global_economy__bop_transfer_payments_credit_euro__euro,0.5429412722587585
56,global_economy__growth_rate_industrial_production_year_on_year_percent_change__percent_change_year_ago,0.5379227995872498
57,global_economy__exchange_rate_lcu_per_yen_period_average__euro,0.5327500104904175
58,leads__vehiclegroup01__lost_medianbymonth,0.5081713199615479
59,global_economy__nominal_gdp_at_factor_cost_statistical_discrepancy_euro__euro,0.49716997146606445
60,global_consumer__total_consumption,0.48884356021881104
61,registrations__volkswagensegment_luxus_meanbymonth,0.4635089039802551
62,registrations__porschesegment_panamera_meanbymonth,0.42414045333862305
63,global_economy__short_term_interest_rate_differential_with_usa__percentage,0.41400888562202454
64,premises__vehiclegroup01__flag_order_start_meanbymonth,0.40852296352386475
65,global_economy__price_of_crude_oil_lcu_basis__euro,0.40488144755363464
66,global_economy__exchange_rate_lcu_per_us_period_end__euro,0.4029017686843872
67,registrations__fueltype_electro_meanbymonth,0.3822053372859955
68,registrations__porschesegment_taycan_meanbymonth,0.3708624839782715
69,global_economy__interest_rate_short_term__percentage,0.36743539571762085
70,global_economy__long_term_interest_rate_differential_with_usa__percentage,0.35981059074401855
71,global_economy__deflator_nia_imports_of_goods_non_factor_services_euro__index,0.3551994562149048
72,global_economy__growth_rate_total_expenditure_in_lcu__percentage,0.3468358516693115
73,registrations__vwm_luxus_ferrari_meanbymonth,0.34469980001449585
74,sales_stock_monthly__vehiclegroup01__physical_meanbymonth,0.3362452983856201
75,registrations__volkswagensegment_x_meanbymonth,0.33295926451683044
76,global_consumer__newspapers_books_and_stationery,0.32046249508857727
77,global_economy__bop_other_investment_balance_net_capital_inflow_us__u_s_dollar,0.31952735781669617
78,global_economy__interest_rate_short_term_real__percentage,0.31432995200157166
79,registrations__vwm_premium_mini_meanbymonth,0.30610203742980957
80,global_economy__nominal_gdp_at_factor_cost_statistical_discrepancy_ppp__u_s_dollar,0.2995831370353699
81,global_economy__real_consumption_total_growth_rate_year_on_year__percent_change_year_ago,0.29158079624176025
82,global_economy__growth_rate_money_supply_m1_period_end_year_on_year_percent_change_lcu__percent_change_year_ago,0.28802093863487244
83,registrations__buildtype_van_meanbymonth,0.28048384189605713
84,global_economy__index_labor_productivity_gdp_to_employed_labor_force__index,0.279952734708786
85,global_consumer__food,0.277656614780426
86,registrations__vwm_premium_audi_meanbymonth,0.27299773693084717
87,registrations__porschesegment_macan_meanbymonth,0.2706219553947449
88,global_economy__growth_rate_broad_money_supply_period_end_year_on_year_percent_change_us__percent_change_year_ago,0.2650373876094818
89,global_economy__growth_rate_real_private_consumption_per_capita__percentage,0.25597459077835083
90,global_economy__nominal_gdp_at_factor_cost_agriculture_euro__euro,0.25425785779953003
91,global_economy__nia_net_exports_of_goods_non_factor_services_year_on_year__percentage,0.24555480480194092
92,global_consumer__total_population_70_to_74,0.24326400458812714
93,global_economy__nominal_gross_domestic_investment_euro__euro,0.23928096890449524
94,global_economy__index_retail_sales_nominal_sa_value__index,0.23143863677978516
95,global_economy__consumer_price_index_dollar_basis__index,0.22843006253242493
96,global_economy__bop_miscellaneous_capital_account_euro__euro,0.22745651006698608
97,global_consumer__female_population_25_to_29,0.2240866720676422
98,registrations__porschesegment_boxster_cayman_meanbymonth,0.20201456546783447
99,registrations__vwm_premium_porsche_meanbymonth,0.2009570598602295
100,global_economy__nia_exports_of_goods_non_factor_services_year_on_year__percentage,0.19710420072078705
101,global_economy__bop_goods_balance_euro__euro,0.19355866312980652
102,registrations__fueltype_hybrid_meanbymonth,0.18320520222187042
103,global_economy__bop_goods_exports_us__u_s_dollar,0.1732255518436432
104,global_economy__bop_financial_account_balance_euro__euro,0.16530874371528625
105,global_economy__deflator_gross_domestic_investment_us__index,0.15056945383548737
106,global_economy__nominal_share_of_gdp_gross_domestic_investment__percentage,0.14970672130584717
107,global_economy__nominal_gdp_at_factor_cost_statistical_discrepancy_us__u_s_dollar,0.14450237154960632
108,global_economy__change_in_international_reserves_excluding_gold__u_s_dollar,0.1348925530910492
109,global_economy__exchange_rate_purchasing_power_parity_lcu_per_us__euro,0.13358522951602936
110,global_consumer__apparel,0.12878061830997467
111,global_consumer__ppp_conversion_factor,0.12661112844944
112,global_economy__bop_net_errors_omissions_euro__euro,0.11873359978199005
113,global_economy__growth_rate_money_supply_m1_period_end_year_on_year_percent_change_us__percent_change_year_ago,0.11371832340955734
114,global_economy__bop_non_factor_service_balance_euro__euro,0.09837005287408829
115,global_economy__population_age_bracket_0_14__persons,0.09749817103147507
116,global_consumer__female_labor_force,0.09546962380409241
117,global_economy__bop_transfer_payments_debit_euro__euro,0.0873776227235794
118,global_economy__bop_factor_service_exports_and_credits_investment_income_receipts_from_the_rest_of_the_world_euro__euro,0.08713191747665405
119,global_consumer__appliances,0.08587455004453659
120,global_economy__nominal_indirect_taxes_minus_subsidies_euro__euro,0.08174294978380203
121,global_economy__real_gdp_at_factor_cost_agriculture_growth_rate_year_on_year__percent_change_year_ago,0.08143479377031326
122,global_economy__total_foreign_debt_as_of_gdp__percentage,0.07727408409118652
123,registrations__vwm_luxus_lamborghini_meanbymonth,0.0770321786403656
124,premises__vehiclegroup01__in_production_meanbymonth,0.07488526403903961
125,global_economy__bop_direct_investment_balance_or_net_fdi_net_capital_inflow_euro__euro,0.07207765430212021
126,global_economy__bop_total_exports_goods_nf_services_of_gdp__percentage,0.07013779878616333
127,global_economy__change_in_international_reserves__u_s_dollar,0.06907831877470016
128,global_economy__bop_direct_investment_asset_debit_capital_outflow_euro__euro,0.06475932151079178
129,global_economy__bop_miscellaneous_capital_account_us__u_s_dollar,0.060198068618774414
130,global_economy__nominal_nia_imports_in_u_s_dollars_growth_rate_year_on_year__percent_change_year_ago,0.05867474898695946
131,global_economy__deflator_government_consumption_euro__index,0.0545128770172596
132,global_economy__bop_factor_service_imports_and_debits_investment_income_payments_to_the_rest_of_the_world_euro__euro,0.053831856697797775
133,global_economy__bop_goods_exports_us_growth_rate_year_on_year__percent_change_year_ago,0.05130557343363762
134,global_consumer__household_operations,0.049972716718912125
135,global_economy__population_age_bracket_15_64__persons,0.04879722371697426
136,global_economy__private_consumption_year_on_year__percentage,0.04774369299411774
137,global_economy__bop_change_in_reserves_us__u_s_dollar,0.044660959392786026
138,global_economy__real_effective_trade_weighted_exchange_rate_real_value_of_lcu__index,0.04439079388976097
139,registrations__buildtype_stufenheck_meanbymonth,0.04401814937591553
140,global_economy__nominal_share_of_gdp_gross_domestic_demand_absorption__percentage,0.04358922317624092
141,global_economy__bop_transfer_payments_balance_of_gdp__percentage,0.04323164001107216
142,global_economy__bop_other_investment_balance_net_capital_inflow_euro__euro,0.04091748222708702
143,global_economy__gross_domestic_demand_deflator_year_on_year_percent_change__percent_change_year_ago,0.03953272104263306
144,registrations__buildtype_cabrio_meanbymonth,0.03795181214809418
145,global_economy__nia_exports_deflator_year_on_year_percent_change__percent_change_year_ago,0.03791035711765289
146,global_economy__bop_goods_imports_of_gdp__percentage,0.03638087585568428
147,global_economy__deflator_consumption_total_us__index,0.036018721759319305
148,global_consumer__education_expenditures,0.036015834659338
149,global_economy__population_rural__persons,0.03448547422885895
150,global_consumer__entertainment_and_information_processing_equipment,0.03293410316109657
151,global_economy__bop_other_investment_asset_debit_capital_outflow_euro__euro,0.030090562999248505
152,global_economy__tax_rate_corporate_income_taxes__percentage,0.028715459629893303
153,registrations__porschesegment_w_o_porsche_segment_meanbymonth,0.028374576941132545
154,global_economy__debt_total_in_us_general_government__u_s_dollar,0.028172241523861885
155,global_economy__employee_compensation_us__u_s_dollar,0.02815948612987995
156,registrations__porschesegment_911_meanbymonth,0.026459531858563423
157,registrations__vwm_premium_bmw_meanbymonth,0.022262148559093475
158,global_consumer__hospital_services,0.020452506840229034
159,global_economy__index_retail_sales_real_volume__index,0.0204146895557642
