,Feature,Mean_SHAP
0,leads__vehiclegroup01__won_meanbymonth,42.38011169433594
1,month,14.936514854431152
2,customer_vehicle_relationships__vehiclegroup01__active_cars,13.171588897705078
3,leads__vehiclegroup01__first_touch_point_meanbymonth,9.046966552734375
4,sales_actuals_monthly__vehiclegroup01__retail,9.017057418823242
5,month_normalized,5.950564861297607
6,premises__vehiclegroup01__in_sales_meanbymonth,4.694082260131836
7,leasing_contracts__vehiclegroup01__start,3.809483051300049
8,leasing_contracts__vehiclegroup01__end,3.6316003799438477
9,quota__vehiclegroup01__aq_medianbymonth,3.427318572998047
10,customer_vehicle_relationships__vehiclegroup01__terminated_cars,3.1667847633361816
11,sales_flow_monthly__vehiclegroup01__cp8_medianbymonth,2.6104421615600586
12,leads__vehiclegroup01__lost_interpolation_spline,1.8513789176940918
13,sales_stock_monthly__vehiclegroup01__netimporteranddealer_fill_zero,1.7994015216827393
14,sales_stock_monthly__vehiclegroup01__physical_meanbymonth,1.5294526815414429
15,sales_stock_monthly__vehiclegroup01__grossall_interpolated_linear,1.3424272537231445
16,premises__vehiclegroup01__in_production_meanbymonth,1.2543401718139648
17,premises__vehiclegroup01__flag_production_start_meanbymonth,1.2413649559020996
18,premises__vehiclegroup01__flag_order_start_meanbymonth,0.8076308965682983
19,countryNo,0.0
