,name,NaN Count
0,month_normalized,0
1,month,0
2,countryname,0
3,sales_actuals_monthly__vehiclegroup01__orderintake,1
4,sales_actuals_monthly__vehiclegroup01__retail,1
5,customer_vehicle_relationships__vehiclegroup01__terminated_cars,1
6,customer_vehicle_relationships__vehiclegroup01__active_cars,1
7,leasing_contracts__vehiclegroup01__end,0
8,leasing_contracts__vehiclegroup01__start,0
9,premises__vehiclegroup01__flag_order_start,44
10,premises__vehiclegroup01__in_sales,44
11,premises__vehiclegroup01__flag_production_start,44
12,premises__vehiclegroup01__in_production,44
13,global_consumer__alcoholic_beverages,0
14,global_consumer__apparel,0
15,global_consumer__apparel_footwear,0
16,global_consumer__appliances,0
17,global_consumer__automobiles,0
18,global_consumer__average_disposable_income_of_urban_households_nominal,0
19,global_consumer__average_disposable_income_of_urban_households_real,0
20,global_consumer__average_income,0
21,global_consumer__beer,0
22,global_consumer__building_materials_garden_supply,0
23,global_consumer__clothing_and_accessories_stores,0
24,global_consumer__clothing_and_footwear,0
25,global_consumer__communication,0
26,global_consumer__consumer_price_index,0
27,global_consumer__crude_birth_rate,0
28,global_consumer__department_stores,0
29,global_consumer__disposable_income_index_constant_2015_us,0
30,global_consumer__disposable_income_index_current_us,0
31,global_consumer__durables,0
32,global_consumer__education,0
33,global_consumer__education_and_recreation,0
34,global_consumer__education_expenditures,0
35,global_consumer__education_recreation,0
36,global_consumer__electronics_and_appliances_stores,0
37,global_consumer__employee_compensation,0
38,global_consumer__employment,0
39,global_consumer__entertainment_and_information_processing_equipment,0
40,global_consumer__entertainment_and_recreation,0
41,global_consumer__exchange_rate,0
42,global_consumer__female_employment,0
43,global_consumer__female_labor_force,0
44,global_consumer__female_population_0_to_14,0
45,global_consumer__female_population_0_to_4,0
46,global_consumer__female_population_10_to_14,0
47,global_consumer__female_population_15_to_19,0
48,global_consumer__female_population_15_to_64,0
49,global_consumer__female_population_20_to_24,0
50,global_consumer__female_population_25_to_29,0
51,global_consumer__female_population_30_to_34,0
52,global_consumer__female_population_35_to_39,0
53,global_consumer__female_population_40_to_44,0
54,global_consumer__female_population_45_to_49,0
55,global_consumer__female_population_50_to_54,0
56,global_consumer__female_population_55_to_59,0
57,global_consumer__female_population_5_to_9,0
58,global_consumer__female_population_60_to_64,0
59,global_consumer__female_population_65,0
60,global_consumer__female_population_65_to_69,0
61,global_consumer__female_population_70_to_74,0
62,global_consumer__female_population_75,0
63,global_consumer__female_unemployment_rate,0
64,global_consumer__financial_other_services,0
65,global_consumer__food,0
66,global_consumer__food_beverages_and_tobacco,0
67,global_consumer__food_stores,0
68,global_consumer__footwear,0
69,global_consumer__furniture_and_home_furnishingstores,0
