,Feature,Mean_SHAP
0,global_economy__nominal_statistical_discrepancy_euro__euro,33.02125930786133
1,registrations__vwm_luxus_ferrari_meanbymonth,14.456502914428711
2,registrations__fueltype_hybrid_meanbymonth,10.669354438781738
3,global_economy__growth_rate_population_urban__percentage,8.082723617553711
4,global_economy__wholesale_producer_price_index_year_on_year_percent_change__percent_change_year_ago,6.0927653312683105
5,global_economy__growth_rate_broad_money_supply_period_end_year_on_year_percent_change_us__percent_change_year_ago,6.053882122039795
6,global_economy__nominal_share_of_gdp_at_factor_cost_industry_manufacturing__percentage,5.125096321105957
7,registrations__porschesegment_w_o_porsche_segment_meanbymonth,4.344520568847656
8,global_economy__short_term_interest_rate_differential_with_usa__percentage,3.657494068145752
9,global_economy__real_gdp_at_factor_cost_agriculture_euro__euro,3.522063732147217
10,global_economy__growth_rate_nominal_retail_sales_index_lcu_year_on_year_percent_change__percent_change_year_ago,3.2970216274261475
11,registrations__volkswagensegment_luxus_meanbymonth,3.245986223220825
12,global_economy__exchange_rate_lcu_per_yen_period_average__euro,3.1580586433410645
13,global_economy__bop_change_in_reserves_euro__euro,2.6881937980651855
14,registrations__vwm_premium_mini_meanbymonth,2.6216013431549072
15,registrations__vwm_luxus_aston_martin_meanbymonth,2.5615596771240234
16,global_economy__growth_rate_industrial_production_year_on_year_percent_change__percent_change_year_ago,2.3250951766967773
17,global_economy__inventory_investment_year_on_year__percentage,2.2423458099365234
18,global_economy__nia_imports_of_goods_non_factor_services_year_on_year__percentage,2.1827759742736816
19,global_economy__bop_factor_service_exports_and_credits_investment_income_receipts_from_the_rest_of_the_world_euro__euro,2.1761155128479004
20,global_economy__consumer_price_index_year_on_year_percent_change__percent_change_year_ago,2.110412120819092
21,registrations__porschesegment_panamera_meanbymonth,2.1037745475769043
22,global_economy__fiscal_balance_overall_government_savings_in_euro_general_government__euro,2.051572322845459
23,registrations__vwm_luxus_bentley_meanbymonth,2.034104824066162
24,global_economy__bop_factor_service_balance_net_foreign_investment_income_euro__euro,1.9647319316864014
25,global_economy__growth_rate_real_retail_sales_index_lcu_year_on_year_percent_change__percent_change_year_ago,1.9571807384490967
26,global_economy__bop_change_in_reserves_us__u_s_dollar,1.893316388130188
27,global_economy__exchange_rate_lcu_per_yen_period_end__euro,1.7729785442352295
28,global_economy__industrial_production_manufacturing_index__index,1.7132197618484497
29,global_economy__interest_rate_long_term__percentage,1.698731541633606
30,global_economy__nominal_gross_domestic_saving_euro__euro,1.6957528591156006
31,global_economy__long_term_interest_rate_differential_with_usa__percentage,1.6393181085586548
32,global_economy__consumer_price_index_dollar_basis__index,1.622775673866272
33,global_economy__exchange_rate_lcu_per_us_period_end__euro,1.5959466695785522
34,global_economy__consumer_price_index__index,1.5855984687805176
35,global_economy__real_gdp_growth_rate_year_on_year__percent_change_year_ago,1.5735300779342651
36,global_economy__bop_other_investment_asset_debit_capital_outflow_euro__euro,1.4866604804992676
37,global_economy__gross_domestic_demand_year_on_year__percentage,1.4188692569732666
38,registrations__porschesegment_macan_meanbymonth,1.3608782291412354
39,global_economy__bop_goods_exports_of_gdp__percentage,1.34569251537323
40,global_economy__tax_rate_personal_income_taxes__percentage,1.29410719871521
41,registrations__porschesegment_boxster_cayman_meanbymonth,1.27469003200531
42,registrations__volkswagensegment_x_interpolation_spline,1.271836519241333
43,global_economy__industrial_production_index__index,1.2626324892044067
44,global_economy__index_retail_sales_real_volume__index,1.258728265762329
45,global_economy__nominal_indirect_taxes_minus_subsidies_ppp__u_s_dollar,1.2350865602493286
46,global_economy__interest_rate_short_term__percentage,1.2261143922805786
47,global_economy__bop_trade_balance_goods_nf_services_euro__euro,1.2155303955078125
48,global_economy__bop_other_investment_liability_credit_capital_inflow_euro__euro,1.1695740222930908
49,global_economy__nominal_gdp_at_factor_cost_agriculture_us__u_s_dollar,1.1450774669647217
50,global_economy__wholesale_producer_price_index_us_basis__index,1.1166912317276
51,global_economy__change_in_international_reserves_excluding_gold__u_s_dollar,1.1159666776657104
52,global_economy__bop_cap_account_bal_euro__euro,1.102783441543579
53,global_economy__nominal_gdp_at_factor_cost_statistical_discrepancy_euro__euro,1.0994890928268433
54,global_economy__bop_transfer_payments_balance_of_gdp__percentage,1.0888099670410156
55,global_economy__bop_transfer_payments_credit_euro__euro,1.0863295793533325
56,global_economy__index_retail_sales_nominal_us_value__index,1.0715949535369873
57,registrations__porschesegment_taycan_meanbymonth,1.0569149255752563
58,global_consumer__millions_of_households_w_inc_50_60k_current_us,1.0328686237335205
59,global_economy__interest_rate_short_term_real__percentage,1.0321812629699707
60,global_economy__exchange_rate_lcu_per_us_period_average_year_on_year_percent_change__percent_change_year_ago,0.9307555556297302
61,global_economy__growth_rate_money_supply_m1_period_end_year_on_year_percent_change_us__percent_change_year_ago,0.9306415915489197
62,global_economy__bop_basic_balance_euro__euro,0.9172045588493347
63,global_economy__nominal_gross_domestic_investment_us__u_s_dollar,0.9111080169677734
64,registrations__buildtype_cabrio_meanbymonth,0.903040885925293
65,month_normalized,0.8774251937866211
66,global_economy__nominal_gross_domestic_product_yen__japanese_yen,0.8309417366981506
67,global_economy__nominal_gdp_at_factor_cost_agriculture_euro__euro,0.8283473253250122
68,registrations__porschesegment_911_meanbymonth,0.824359118938446
69,global_economy__bop_direct_investment_liability_or_fdi_credit_capital_inflow_of_gdp__percentage,0.8208089470863342
70,global_economy__nominal_share_of_gdp_at_factor_cost_services__percentage,0.7779671549797058
71,global_economy__interest_rate_spread_long_term_minus_short_term__percentage,0.7616495490074158
72,global_economy__change_in_international_reserves__u_s_dollar,0.7545110583305359
73,global_economy__fiscal_balance_current_primary_in_euro_general_government__euro,0.7340993285179138
74,global_economy__exchange_rate_lcu_per_us_period_end_year_on_year_percent_change__percent_change_year_ago,0.7293131947517395
75,global_economy__growth_rate_nominal_ppp_gdp_per_capita__percentage,0.7241231203079224
76,global_economy__gross_domestic_product_deflator_year_on_year_percent_change__percent_change_year_ago,0.7209161520004272
77,global_consumer__male_population_15_to_64,0.7055792808532715
78,global_consumer__alcoholic_beverages,0.7043943405151367
79,registrations__porschesegment_cayenne_meanbymonth,0.6394143104553223
80,global_economy__deflator_gdp_at_factor_cost_industry_us__index,0.6270333528518677
81,global_economy__nominal_gdp_at_factor_cost_statistical_discrepancy_ppp__u_s_dollar,0.6124903559684753
82,global_economy__bop_total_exports_goods_nf_services_of_gdp__percentage,0.6080874800682068
83,global_consumer__millions_of_households_w_inc_100_150k_current_us,0.6013860106468201
84,registrations__vwm_premium_land_rover_meanbymonth,0.5958831310272217
85,global_consumer__households,0.5788597464561462
86,global_economy__bop_transfer_payments_balance_euro__euro,0.5542677640914917
87,registrations__buildtype_stufenheck_meanbymonth,0.5367753505706787
88,global_economy__index_retail_sales_nominal_sa_value__index,0.5255756378173828
89,global_economy__bop_non_factor_service_balance_euro__euro,0.5063297152519226
90,global_economy__nia_net_exports_of_goods_non_factor_services_year_on_year__percentage,0.5061657428741455
91,global_consumer__newspapers_books_and_stationery,0.4891417622566223
92,global_consumer__apparel,0.4190494120121002
93,global_economy__tax_rate_social_insurance_taxes__percentage,0.408649742603302
94,global_economy__fiscal_balance_current_in_euro_general_government__euro,0.39896637201309204
95,global_economy__employee_compensation_lcu_year_on_year_percent_change__percent_change_year_ago,0.38079148530960083
96,global_economy__real_effective_trade_weighted_exchange_rate_real_value_of_lcu__index,0.37938517332077026
97,global_consumer__automobiles,0.36593860387802124
98,global_economy__deflator_gdp_at_factor_cost_agriculture_us__index,0.35543158650398254
99,global_economy__growth_rate_unspecified_revenue_total_otherwise_current_in_u_s_dollars_general_government__percentage,0.34475722908973694
100,global_consumer__crude_birth_rate,0.3382158875465393
101,global_economy__bop_portfolio_investment_balance_net_capital_inflow_euro__euro,0.3375559449195862
102,global_economy__bop_direct_investment_liability_or_fdi_credit_capital_inflow_of_if__percentage,0.31755661964416504
103,global_economy__international_reserves_import_cover__months,0.3048607409000397
104,global_economy__real_private_consumption_euro__euro,0.3018586039543152
105,global_economy__nominal_share_of_gdp_gross_domestic_demand_absorption__percentage,0.3010929822921753
106,global_economy__bop_goods_exports_us_growth_rate_year_on_year__percent_change_year_ago,0.30024459958076477
107,global_consumer__average_income,0.28223368525505066
108,global_economy__exchange_rate_lcu_per_us_period_average__euro,0.2749772071838379
109,global_economy__nominal_indirect_taxes_minus_subsidies_us__u_s_dollar,0.2672429382801056
110,global_economy__bop_portfolio_investment_liability_credit_capital_inflow_euro__euro,0.23968462646007538
111,global_economy__bop_financial_account_balance_euro__euro,0.23782441020011902
112,global_economy__bop_miscellaneous_capital_account_us__u_s_dollar,0.23523345589637756
113,global_economy__private_consumption_year_on_year__percentage,0.23097632825374603
114,registrations__volkswagensegment_volumen_meanbymonth,0.2298116236925125
115,global_economy__nominal_share_of_gdp_at_factor_cost_agriculture__percentage,0.22535818815231323
116,global_economy__nominal_inventory_investment_euro__euro,0.22523126006126404
117,registrations__vwm_premium_porsche_meanbymonth,0.22244329750537872
118,global_economy__bop_net_errors_omissions_us__u_s_dollar,0.21588477492332458
119,global_consumer__packaged_holiday,0.21486258506774902
120,global_economy__deflator_customs_clearance_exports_total_saar_us__index,0.21377341449260712
121,global_economy__bop_net_errors_omissions_euro__euro,0.21023023128509521
122,global_economy__income_from_social_security_and_other_transfer_payments_to_individuals_us__u_s_dollar,0.20549876987934113
123,registrations__vwm_luxus_lamborghini_interpolated_linear,0.2050521820783615
124,global_economy__bop_miscellaneous_capital_account_euro__euro,0.20362991094589233
125,registrations__volkswagensegment_budget_meanbymonth,0.19264034926891327
126,global_economy__bop_factor_service_imports_and_debits_investment_income_payments_to_the_rest_of_the_world_euro__euro,0.17988473176956177
127,global_economy__bop_current_account_balance_euro__euro,0.17535239458084106
