,Feature,Mean_SHAP
1135,global_economy__real_gdp_at_factor_cost_services_growth_rate_year_on_year__percent_change_year_ago,13.948963
1488,registrations__porschesegment_boxster_cayman_meanbymonth,13.321922
1035,global_economy__nominal_statistical_discrepancy_euro__euro,10.364896
1608,registrations__vwm_luxus_ferrari_meanbymonth,8.63278
1498,registrations__porschesegment_w_o_porsche_segment_meanbymonth,7.686508
887,global_economy__nominal_gdp_at_factor_cost_agriculture_ppp__u_s_dollar,4.9222436
437,global_economy__consumer_price_index_year_on_year_percent_change__percent_change_year_ago,4.910304
1523,registrations__volkswagensegment_volumen_meanbymonth,4.4309955
765,global_economy__index_retail_sales_nominal_sa_value__index,4.1012096
692,global_economy__growth_rate_labor_productivity_gdp_to_employed_labor_force__percentage,4.0470085
1603,registrations__vwm_luxus_bentley_meanbymonth,3.8880672
1638,registrations__fueltype_hybrid_meanbymonth,3.6927369
796,global_economy__interest_rate_prime__percentage,3.4893525
1004,global_economy__nominal_nia_net_exports_lcu__euro,3.2367184
711,global_economy__growth_rate_real_retail_sales_index_lcu_year_on_year_percent_change__percent_change_year_ago,3.1544957
1548,registrations__vwm_premium_mercedes_benz_meanbymonth,3.0361626
701,global_economy__growth_rate_nominal_retail_sales_index_lcu_year_on_year_percent_change__percent_change_year_ago,3.0027716
798,global_economy__interest_rate_short_term_real__percentage,2.9436524
415,global_economy__bop_transfer_payments_balance_of_gdp__percentage,2.9233406
1345,global_economy__wholesale_producer_price_index_year_on_year_percent_change__percent_change_year_ago,2.8008032
572,global_economy__exchange_rate_lcu_per_us_period_average_year_on_year_percent_change__percent_change_year_ago,2.659875
579,global_economy__exchange_rate_lcu_per_yen_period_average__euro,2.612092
1241,global_economy__short_term_interest_rate_differential_with_usa__percentage,2.5716968
1040,global_economy__nominal_statistical_discrepancy_us__u_s_dollar,2.3959901
672,global_economy__growth_rate_broad_money_supply_period_end_year_on_year_percent_change_us__percent_change_year_ago,2.1758184
1259,global_economy__subsidies_in_us_general_government__u_s_dollar,2.1396263
767,global_economy__index_retail_sales_real_volume__index,2.1385968
705,global_economy__growth_rate_population_rural__percentage,2.1153479
76,global_consumer__male_labor_force,2.1063704
429,global_economy__change_in_international_reserves__u_s_dollar,2.077486
793,global_economy__interest_rate_long_term__percentage,2.0440626
340,global_economy__bop_net_errors_omissions_euro__euro,2.023131
589,global_economy__fiscal_balance_current_in_euro_general_government__euro,1.9962968
367,global_economy__bop_portfolio_investment_asset_debit_capital_outflow_euro__euro,1.9785604
435,global_economy__consumer_price_index_dollar_basis__index,1.9725095
621,global_economy__fiscal_balance_overall_government_savings_in_euro_general_government__euro,1.8498123
842,global_economy__nia_exports_deflator_year_on_year_percent_change__percent_change_year_ago,1.742066
364,global_economy__bop_other_investment_liability_credit_capital_inflow_euro__euro,1.7004333
829,global_economy__money_supply_m2_period_end_us__u_s_dollar,1.6203169
498,global_economy__deflator_gdp_at_factor_cost_agriculture_us__index,1.533869
903,global_economy__nominal_gdp_at_factor_cost_industry_manufacturing_us__u_s_dollar,1.4724306
513,global_economy__deflator_gdp_at_factor_cost_us__index,1.4612609
1262,global_economy__tax_rate_indirect_taxes__percentage,1.453659
1261,global_economy__tax_rate_corporate_income_taxes__percentage,1.4237286
1493,registrations__porschesegment_panamera_meanbymonth,1.3978974
766,global_economy__index_retail_sales_nominal_us_value__index,1.3962252
976,global_economy__nominal_inventory_investment_euro__euro,1.3031614
695,global_economy__growth_rate_money_supply_m2_period_end_year_on_year_percent_change_lcu__percent_change_year_ago,1.3013871
707,global_economy__growth_rate_real_effective_exchange_rate__percentage,1.27061
1573,registrations__vwm_premium_land_rover_meanbymonth,1.2188923
691,global_economy__growth_rate_industrial_production_year_on_year_percent_change__percent_change_year_ago,1.1674695
550,global_economy__disposable_personal_income_us__u_s_dollar,1.1252626
1347,month_normalized,1.0988214
290,global_economy__bop_direct_investment_balance_or_net_fdi_net_capital_inflow_euro__euro,1.0498644
287,global_economy__bop_direct_investment_asset_debit_capital_outflow_euro__euro,1.0433722
279,global_economy__bop_change_in_reserves_euro__euro,1.0368297
272,global_economy__bop_basic_balance_euro__euro,1.0309569
671,global_economy__growth_rate_broad_money_supply_period_end_year_on_year_percent_change_lcu__percent_change_year_ago,1.0284532
431,global_economy__consumer_price_index__index,1.0076202
1070,global_economy__private_consumption_deflator_year_on_year_percent_change__percent_change_year_ago,1.0020112
1543,registrations__volkswagensegment_luxus_meanbymonth,0.9744123
489,global_economy__deflator_fixed_investment_private_non_residential_euro__index,0.9735161
775,global_economy__industrial_production_index__index,0.96644586
706,global_economy__growth_rate_population_urban__percentage,0.92791677
357,global_economy__bop_other_investment_asset_debit_capital_outflow_euro__euro,0.9276516
694,global_economy__growth_rate_money_supply_m1_period_end_year_on_year_percent_change_us__percent_change_year_ago,0.9109212
299,global_economy__bop_factor_service_balance_net_foreign_investment_income_euro__euro,0.88297814
430,global_economy__change_in_international_reserves_excluding_gold__u_s_dollar,0.8784469
574,global_economy__exchange_rate_lcu_per_us_period_end__euro,0.85491973
343,global_economy__bop_net_errors_omissions_us__u_s_dollar,0.7836211
582,global_economy__exchange_rate_lcu_per_yen_period_end__euro,0.77324075
1578,registrations__vwm_premium_porsche_meanbymonth,0.76540834
411,global_economy__bop_transfer_payments_balance_euro__euro,0.7624863
883,global_economy__nominal_gdp_at_factor_cost_agriculture_euro__euro,0.75119025
797,global_economy__interest_rate_short_term__percentage,0.75118434
814,global_economy__long_term_interest_rate_differential_with_usa__percentage,0.74229646
876,global_economy__nominal_fixed_investment_private_non_residential_us__u_s_dollar,0.71952343
3,global_consumer__appliances,0.6919054
1623,registrations__vwm_luxus_rolls_royce_meanbymonth,0.69036484
0,global_consumer__alcoholic_beverages,0.68815774
327,global_economy__bop_goods_exports_us__u_s_dollar,0.6776394
483,global_economy__deflator_customs_clearance_imports_total_saar_us__index,0.6695507
1251,global_economy__subsidies_in_euro_general_government__euro,0.66125095
283,global_economy__bop_current_account_balance_euro__euro,0.6565032
325,global_economy__bop_goods_exports_of_gdp__percentage,0.6531028
1205,global_economy__real_nia_imports_of_goods_non_factor_services_growth_rate_year_on_year__percent_change_year_ago,0.64915925
496,global_economy__deflator_gdp_at_factor_cost_agriculture_euro__index,0.627381
806,global_economy__international_reserves_of_gdp__percentage,0.6194378
304,global_economy__bop_factor_service_exports_and_credits_investment_income_receipts_from_the_rest_of_the_world_euro__euro,0.6115768
799,global_economy__interest_rate_spread_long_term_minus_short_term__percentage,0.6058613
662,global_economy__fixed_investment_year_on_year__percentage,0.58147794
374,global_economy__bop_portfolio_investment_liability_credit_capital_inflow_euro__euro,0.57776386
1220,global_economy__real_price_of_crude_oil_lcu_basis__euro,0.5630028
1288,global_economy__total_revenue_current_plus_net_asset_sales_in_euro_general_government__euro,0.5579811
276,global_economy__bop_cap_account_bal_euro__euro,0.54860836
1613,registrations__vwm_luxus_lamborghini_meanbymonth,0.5406262
326,global_economy__bop_goods_exports_percent_of_world_exports__percentage,0.4941446
1105,global_economy__real_gdp_at_factor_cost_agriculture_growth_rate_year_on_year__percent_change_year_ago,0.47552696
1019,global_economy__nominal_share_of_gdp_at_factor_cost_agriculture__percentage,0.46492162
920,global_economy__nominal_gdp_at_factor_cost_statistical_discrepancy_ppp__u_s_dollar,0.45539832
669,global_economy__gross_domestic_demand_year_on_year__percentage,0.4494621
1049,global_economy__participation_rate_labor_force_to_working_age_pop__points,0.44632664
159,global_consumer__newspapers_books_and_stationery,0.44037122
1518,registrations__porschesegment_macan_meanbymonth,0.4331207
320,global_economy__bop_goods_balance_us__u_s_dollar,0.42737046
282,global_economy__bop_change_in_reserves_us__u_s_dollar,0.42728385
114,global_consumer__millions_of_households_w_inc_15_20k_constant_2015_us,0.4250591
1615,registrations__vwm_luxus_lamborghini_interpolated_linear,0.41417813
1688,registrations__buildtype_other_meanbymonth,0.4132263
1491,registrations__porschesegment_boxster_cayman_interpolation_spline,0.41146445
1693,registrations__buildtype_pickup_meanbymonth,0.4006976
526,global_economy__deflator_nia_exports_of_goods_non_factor_services_euro__index,0.4005947
710,global_economy__growth_rate_real_private_consumption_per_capita__percentage,0.40006524
1265,global_economy__tax_rate_social_insurance_taxes__percentage,0.39278874
1563,registrations__vwm_premium_lexus_meanbymonth,0.38589135
1568,registrations__vwm_premium_volvo_meanbymonth,0.38435546
14,global_consumer__crude_birth_rate,0.38231945
986,global_economy__nominal_nia_exports_in_u_s_dollars_growth_rate_year_on_year__percent_change_year_ago,0.36894423
1344,global_economy__wholesale_producer_price_index_us_basis__index,0.3637066
1558,registrations__vwm_premium_audi_meanbymonth,0.35742733
551,global_economy__employee_compensation_euro__euro,0.3542594
1027,global_economy__nominal_share_of_gdp_gross_domestic_demand_absorption__percentage,0.35391593
921,global_economy__nominal_gdp_at_factor_cost_statistical_discrepancy_us__u_s_dollar,0.35184318
36,global_consumer__female_population_20_to_24,0.3465194
666,global_economy__government_consumption_deflator_year_on_year_percent_change__percent_change_year_ago,0.33805114
531,global_economy__deflator_nia_imports_of_goods_non_factor_services_us__index,0.33298546
1673,registrations__buildtype_cabrio_meanbymonth,0.32783428
808,global_economy__inventory_investment_year_on_year__percentage,0.32650733
34,global_consumer__female_population_15_to_19,0.31182507
844,global_economy__nia_imports_deflator_year_on_year_percent_change__percent_change_year_ago,0.30797026
529,global_economy__deflator_nia_imports_of_goods_non_factor_services_euro__index,0.3036872
697,global_economy__growth_rate_nominal_effective_exchange_rate__percentage,0.29695687
477,global_economy__debt_total_of_gdp_general_government__percentage,0.28845966
60,global_consumer__gross_domestic_product_constant_2015_us,0.28687516
1022,global_economy__nominal_share_of_gdp_at_factor_cost_industry_manufacturing__percentage,0.2841132
560,global_economy__employment_salary_paid_employees__persons,0.27494663
1013,global_economy__nominal_private_consumption_euro__euro,0.268527
27,global_consumer__entertainment_and_recreation,0.25606987
1507,registrations__porschesegment_cayenne_fill_zero,0.25244504
308,global_economy__bop_factor_service_imports_and_debits_investment_income_payments_to_the_rest_of_the_world_euro__euro,0.24403918
975,global_economy__nominal_indirect_taxes_minus_subsidies_us__u_s_dollar,0.24230146
1,global_consumer__apparel,0.24076489
1495,registrations__porschesegment_panamera_interpolated_linear,0.23810998
112,global_consumer__millions_of_households_w_inc_150k_current_us,0.23239517
1583,registrations__vwm_premium_mini_meanbymonth,0.21717152
1112,global_economy__real_gdp_at_factor_cost_industry_construction_euro__euro,0.20711023
360,global_economy__bop_other_investment_balance_net_capital_inflow_euro__euro,0.20529334
587,global_economy__exchange_rate_purchasing_power_parity_lcu_per_us_year_on_year_percent_change__percent_change_year_ago,0.20290174
335,global_economy__bop_goods_imports_us_growth_rate_year_on_year__percent_change_year_ago,0.20178963
1047,global_economy__output_gap__euro,0.19279346
667,global_economy__government_consumption_year_on_year__percentage,0.19159748
438,global_economy__current_account_balance_as_a_of_gdp__percentage,0.18744127
1104,global_economy__real_gdp_at_factor_cost_agriculture_euro__euro,0.18437351
1189,global_economy__real_inventory_investment_euro__euro,0.18155289
464,global_economy__debt_total_in_euro_general_government__euro,0.17669839
1236,global_economy__share_of_population_age_bracket_0_14__percentage,0.17074801
1668,registrations__buildtype_van_meanbymonth,0.16947755
7,global_consumer__average_income,0.1615206
846,global_economy__nia_net_exports_of_goods_non_factor_services_year_on_year__percentage,0.15769045
756,global_economy__income_from_social_security_and_other_transfer_payments_to_individuals_euro__euro,0.15606613
1080,global_economy__real_effective_trade_weighted_exchange_rate_real_value_of_lcu__index,0.15131101
1541,registrations__volkswagensegment_x_interpolation_spline,0.1491686
1508,registrations__porschesegment_taycan_meanbymonth,0.14323586
416,global_economy__bop_transfer_payments_credit_euro__euro,0.140323
880,global_economy__nominal_fixed_investment_private_residential_ppp__u_s_dollar,0.1318032
759,global_economy__income_from_social_security_and_other_transfer_payments_to_individuals_us__u_s_dollar,0.12892555
562,global_economy__employment_total__persons,0.1235117
329,global_economy__bop_goods_imports_euro__euro,0.1212243
303,global_economy__bop_factor_service_balance_of_gdp__percentage,0.11996431
1117,global_economy__real_gdp_at_factor_cost_industry_euro__euro,0.11880827
668,global_economy__gross_domestic_demand_deflator_year_on_year_percent_change__percent_change_year_ago,0.116563745
1503,registrations__porschesegment_cayenne_meanbymonth,0.11358808
585,global_economy__exchange_rate_purchasing_power_parity_lcu_per_us__euro,0.11267637
363,global_economy__bop_other_investment_balance_net_capital_inflow_us__u_s_dollar,0.1095588
916,global_economy__nominal_gdp_at_factor_cost_statistical_discrepancy_euro__euro,0.10945819
664,global_economy__full_employment_potential_real_gdp__euro,0.10267915
232,global_consumer__tobacco,0.101065524
570,global_economy__exchange_rate_lcu_per_us_period_average__euro,0.09637382
770,global_economy__index_unit_labor_costs_lcu_basis_year_on_year_percent_change__percent_change_year_ago,0.08527878
315,global_economy__bop_goods_balance_euro__euro,0.084228456
693,global_economy__growth_rate_money_supply_m1_period_end_year_on_year_percent_change_lcu__percent_change_year_ago,0.082097925
319,global_economy__bop_goods_balance_of_gdp__percentage,0.07642865
1703,registrations__buildtype_kombi_meanbymonth,0.07368911
514,global_economy__deflator_government_consumption_euro__index,0.072312854
704,global_economy__growth_rate_population_age_bracket_65__percentage,0.071921185
344,global_economy__bop_non_factor_service_balance_euro__euro,0.07128278
561,global_economy__employment_self_employed_workers__persons,0.070543535
1538,registrations__volkswagensegment_x_meanbymonth,0.070359886
978,global_economy__nominal_inventory_investment_lcu__euro,0.07016115
1678,registrations__buildtype_stufenheck_meanbymonth,0.06930279
845,global_economy__nia_imports_of_goods_non_factor_services_year_on_year__percentage,0.06692028
55,global_consumer__footwear,0.06556361
19,global_consumer__education,0.06464312
1618,registrations__vwm_luxus_aston_martin_meanbymonth,0.06371347
328,global_economy__bop_goods_exports_us_growth_rate_year_on_year__percent_change_year_ago,0.06351242
1513,registrations__porschesegment_911_meanbymonth,0.062304016
1533,registrations__volkswagensegment_budget_meanbymonth,0.062115986
38,global_consumer__female_population_30_to_34,0.061000932
712,global_economy__growth_rate_terms_of_trade_goods_year_on_year_percent_change__percent_change_year_ago,0.060247872
41,global_consumer__female_population_45_to_49,0.06024193
1020,global_economy__nominal_share_of_gdp_at_factor_cost_industry__percentage,0.056410134
507,global_economy__deflator_gdp_at_factor_cost_industry_manufacturing_us__index,0.052179974
294,global_economy__bop_direct_investment_liability_or_fdi_credit_capital_inflow_euro__euro,0.051786777
1280,global_economy__total_expenditure_of_gdp_general_government__percentage,0.04915679
1066,global_economy__price_of_crude_oil_lcu_basis__euro,0.046259694
703,global_economy__growth_rate_population_age_bracket_15_64__percentage,0.03776268
4,global_consumer__automobiles,0.037736412
970,global_economy__nominal_indirect_taxes_minus_subsidies_euro__euro,0.03746562
