,Feature,Mean_SHAP
31,leads__vehiclegroup01__won_meanbymonth,32.73543
33,leads__vehiclegroup01__won_interpolated_linear,17.556135
1,month,13.431718
4,customer_vehicle_relationships__vehiclegroup01__active_cars,12.004722
2,sales_actuals_monthly__vehiclegroup01__retail,11.594708
36,leads__vehiclegroup01__first_touch_point_meanbymonth,11.342767
0,month_normalized,6.3078194
3,customer_vehicle_relationships__vehiclegroup01__terminated_cars,4.2729034
48,quota__vehiclegroup01__aq_interpolated_linear,4.272527
5,leasing_contracts__vehiclegroup01__end,4.205444
8,premises__vehiclegroup01__in_sales,2.9046764
46,quota__vehiclegroup01__aq_meanbymonth,2.8204806
6,leasing_contracts__vehiclegroup01__start,2.799659
49,quota__vehiclegroup01__aq_interpolation_spline,2.586683
34,leads__vehiclegroup01__won_interpolation_spline,2.1647935
47,quota__vehiclegroup01__aq_medianbymonth,2.057249
16,sales_stock_monthly__vehiclegroup01__physical_meanbymonth,2.0522616
10,premises__vehiclegroup01__in_production,2.0260906
26,sales_stock_monthly__vehiclegroup01__netimporteranddealer_meanbymonth,1.9810609
41,leads__vehiclegroup01__lost_meanbymonth,1.7545184
21,sales_stock_monthly__vehiclegroup01__grossall_meanbymonth,1.5127064
22,sales_stock_monthly__vehiclegroup01__grossall_medianbymonth,1.3459724
9,premises__vehiclegroup01__flag_production_start,1.2197428
14,sales_flow_monthly__vehiclegroup01__cp8_interpolation_spline,1.1585456
12,sales_flow_monthly__vehiclegroup01__cp8_medianbymonth,1.155743
7,premises__vehiclegroup01__flag_order_start,1.0939612
11,sales_flow_monthly__vehiclegroup01__cp8_meanbymonth,1.0903682
18,sales_stock_monthly__vehiclegroup01__physical_interpolated_linear,1.0799736
50,quota__vehiclegroup01__aq_fill_zero,1.0217156
13,sales_flow_monthly__vehiclegroup01__cp8_interpolated_linear,1.016679
32,leads__vehiclegroup01__won_medianbymonth,0.91323566
23,sales_stock_monthly__vehiclegroup01__grossall_interpolated_linear,0.77282846
38,leads__vehiclegroup01__first_touch_point_interpolated_linear,0.5333894
17,sales_stock_monthly__vehiclegroup01__physical_medianbymonth,0.5019381
43,leads__vehiclegroup01__lost_interpolated_linear,0.430375
29,sales_stock_monthly__vehiclegroup01__netimporteranddealer_interpolation_spline,0.37208116
37,leads__vehiclegroup01__first_touch_point_medianbymonth,0.34485444
42,leads__vehiclegroup01__lost_medianbymonth,0.32027864
27,sales_stock_monthly__vehiclegroup01__netimporteranddealer_medianbymonth,0.22991858
24,sales_stock_monthly__vehiclegroup01__grossall_interpolation_spline,0.17492232
28,sales_stock_monthly__vehiclegroup01__netimporteranddealer_interpolated_linear,0.099153
30,sales_stock_monthly__vehiclegroup01__netimporteranddealer_fill_zero,0.061974756
45,leads__vehiclegroup01__lost_fill_zero,0.0
19,sales_stock_monthly__vehiclegroup01__physical_interpolation_spline,0.0
35,leads__vehiclegroup01__won_fill_zero,0.0
44,leads__vehiclegroup01__lost_interpolation_spline,0.0
40,leads__vehiclegroup01__first_touch_point_fill_zero,0.0
39,leads__vehiclegroup01__first_touch_point_interpolation_spline,0.0
20,sales_stock_monthly__vehiclegroup01__physical_fill_zero,0.0
15,sales_flow_monthly__vehiclegroup01__cp8_fill_zero,0.0
25,sales_stock_monthly__vehiclegroup01__grossall_fill_zero,0.0
51,countryNo,0.0
